epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,758.683,1.1218,0.81615,1.23982,0.59325,0.73498,0.71186,0.41004,1.56037,1.24337,1.66268,0.000632793,0.000632793,0.000632793
96,765.139,1.11652,0.81866,1.25205,0.68585,0.62748,0.71884,0.40764,1.58898,1.12579,1.65691,0.000621791,0.000621791,0.000621791
97,771.362,1.10102,0.79719,1.24857,0.5159,0.81577,0.658,0.38396,1.60052,1.30246,1.68684,0.000610789,0.000610789,0.000610789
98,777.421,1.09565,0.77851,1.23643,0.62693,0.81997,0.78133,0.45213,1.61146,1.04059,1.70915,0.000599787,0.000599787,0.000599787
99,783.81,1.07353,0.78556,1.22309,0.58267,0.72339,0.73071,0.4104,1.63237,1.2194,1.65633,0.000588784,0.000588784,0.000588784
100,790.288,1.06427,0.77522,1.21137,0.53889,0.81577,0.73376,0.42099,1.62017,1.18388,1.65306,0.000577782,0.000577782,0.000577782
101,797.115,1.05919,0.75797,1.21071,0.67026,0.69636,0.76666,0.44201,1.54256,1.06007,1.6157,0.00056678,0.00056678,0.00056678
102,803.785,1.05788,0.77583,1.23178,0.57396,0.82678,0.7808,0.43914,1.63659,1.07511,1.69942,0.000555778,0.000555778,0.000555778
103,810.369,1.00208,0.72447,1.18942,0.59714,0.82628,0.79772,0.43127,1.67514,1.0127,1.7414,0.000544776,0.000544776,0.000544776
104,817.154,1.04035,0.72247,1.20467,0.78135,0.70309,0.78541,0.42741,1.66099,1.02679,1.73905,0.000533773,0.000533773,0.000533773
105,823.809,1.03707,0.70556,1.19768,0.59211,0.79259,0.73292,0.42086,1.65358,1.13398,1.72536,0.000522771,0.000522771,0.000522771
106,830.473,1.03542,0.68885,1.20326,0.58235,0.85225,0.74286,0.41979,1.63869,1.08708,1.75051,0.000511769,0.000511769,0.000511769
107,837.111,1.01837,0.68418,1.19733,0.65255,0.68498,0.73301,0.40952,1.64741,1.13172,1.76748,0.000500767,0.000500767,0.000500767
108,843.547,1.0552,0.71522,1.24146,0.6311,0.73278,0.7458,0.42436,1.63214,1.15801,1.77707,0.000489765,0.000489765,0.000489765
109,850.071,1.0507,0.70984,1.22054,0.64964,0.71802,0.697,0.3981,1.64155,1.23422,1.82681,0.000478762,0.000478762,0.000478762
110,856.734,0.99321,0.69208,1.18491,0.60358,0.75505,0.74065,0.40056,1.67072,1.15658,1.7739,0.00046776,0.00046776,0.00046776
111,863.445,1.04998,0.72066,1.22318,0.55107,0.7991,0.66872,0.35707,1.71523,1.35802,1.79326,0.000456758,0.000456758,0.000456758
112,870.121,1.00068,0.69101,1.19581,0.69296,0.6045,0.71214,0.37817,1.7041,1.23242,1.75306,0.000445756,0.000445756,0.000445756
113,876.695,1.01791,0.68167,1.21127,0.68324,0.68052,0.69063,0.38984,1.6523,1.22212,1.702,0.000434754,0.000434754,0.000434754
114,883.354,1.04603,0.71141,1.2054,0.59557,0.83531,0.73195,0.4102,1.58205,1.22258,1.67156,0.000423751,0.000423751,0.000423751
115,890.106,0.98268,0.65953,1.16791,0.70908,0.71391,0.72517,0.39364,1.69342,1.13775,1.77442,0.000412749,0.000412749,0.000412749
116,896.815,0.98025,0.65992,1.19467,0.56419,0.82295,0.7223,0.38346,1.60134,1.205,1.721,0.000401747,0.000401747,0.000401747
117,903.55,0.95406,0.64719,1.15225,0.57581,0.81415,0.7249,0.40261,1.63898,1.14455,1.72783,0.000390745,0.000390745,0.000390745
118,910.276,0.9427,0.64535,1.14742,0.62624,0.69505,0.71241,0.40661,1.63989,1.21966,1.70539,0.000379743,0.000379743,0.000379743
119,916.918,0.9562,0.64695,1.14981,0.64721,0.72523,0.69416,0.39317,1.65487,1.22584,1.72071,0.00036874,0.00036874,0.00036874
120,923.636,0.95695,0.63968,1.1484,0.67913,0.76241,0.7646,0.41024,1.65157,1.13408,1.72038,0.000357738,0.000357738,0.000357738
121,930.157,0.97471,0.67313,1.17201,0.64807,0.78095,0.75493,0.41411,1.65681,1.10483,1.72446,0.000346736,0.000346736,0.000346736
122,936.862,0.95488,0.64067,1.15985,0.58457,0.7616,0.70307,0.38113,1.66764,1.2336,1.74241,0.000335734,0.000335734,0.000335734
123,943.648,0.96726,0.6686,1.19222,0.71197,0.7045,0.74162,0.40326,1.61762,1.07762,1.7566,0.000324732,0.000324732,0.000324732
124,950.162,0.955,0.6574,1.1676,0.67917,0.75024,0.78082,0.42181,1.65504,1.02919,1.76081,0.000313729,0.000313729,0.000313729
125,956.851,0.9145,0.6203,1.14548,0.68517,0.74968,0.7532,0.41454,1.6515,1.13467,1.76998,0.000302727,0.000302727,0.000302727
126,963.489,0.92559,0.62358,1.15224,0.6804,0.74189,0.72661,0.41063,1.65023,1.15023,1.74617,0.000291725,0.000291725,0.000291725
127,970.033,0.90589,0.59763,1.1305,0.71494,0.68056,0.76051,0.41628,1.68714,1.12659,1.76936,0.000280723,0.000280723,0.000280723
128,976.711,0.88487,0.60678,1.11992,0.67031,0.78016,0.80626,0.44001,1.63885,1.03529,1.73314,0.000269721,0.000269721,0.000269721
129,983.369,0.90346,0.59524,1.12884,0.72738,0.73914,0.77096,0.42909,1.63422,1.06213,1.74811,0.000258718,0.000258718,0.000258718
130,990.167,0.90848,0.59236,1.1343,0.68103,0.77395,0.75889,0.40565,1.72024,1.20236,1.81044,0.000247716,0.000247716,0.000247716
131,996.785,0.9035,0.5798,1.13574,0.69705,0.73377,0.76039,0.41537,1.67751,1.08608,1.76895,0.000236714,0.000236714,0.000236714
132,1003.25,0.90426,0.60863,1.14638,0.62456,0.76577,0.73496,0.41833,1.61957,1.20159,1.70431,0.000225712,0.000225712,0.000225712
133,1009.77,0.86551,0.59926,1.12761,0.74284,0.71194,0.76733,0.44327,1.62566,1.08662,1.7671,0.00021471,0.00021471,0.00021471
134,1016.53,0.88458,0.58901,1.12889,0.71182,0.83965,0.81052,0.4471,1.67569,1.01567,1.79505,0.000203707,0.000203707,0.000203707
135,1023.21,0.87401,0.58712,1.11365,0.69646,0.75411,0.79757,0.43622,1.68297,1.01913,1.79901,0.000192705,0.000192705,0.000192705
136,1030.03,0.8644,0.57855,1.12669,0.64373,0.85225,0.7809,0.42318,1.68274,0.98088,1.7917,0.000181703,0.000181703,0.000181703
137,1036.84,0.86078,0.58328,1.10523,0.7487,0.73244,0.78535,0.42671,1.67622,1.00214,1.79224,0.000170701,0.000170701,0.000170701
138,1043.37,0.89391,0.58043,1.13824,0.67877,0.83186,0.78884,0.43136,1.73191,1.00439,1.84566,0.000159699,0.000159699,0.000159699
139,1050.13,0.85314,0.56543,1.10088,0.65684,0.7779,0.7812,0.43887,1.69689,1.04001,1.83889,0.000148696,0.000148696,0.000148696
140,1056.79,0.85375,0.58349,1.1407,0.71363,0.68153,0.76593,0.42936,1.65253,1.12824,1.80536,0.000137694,0.000137694,0.000137694
141,1064.42,0.72664,0.44417,1.0341,0.67911,0.71486,0.72653,0.41388,1.62601,1.18977,1.7868,0.000126692,0.000126692,0.000126692
142,1071.46,0.73986,0.45034,1.03942,0.71727,0.67432,0.74454,0.42513,1.66148,1.1004,1.83218,0.00011569,0.00011569,0.00011569
143,1078.19,0.71411,0.42597,1.02238,0.6196,0.84332,0.76973,0.41999,1.70403,1.07165,1.83136,0.000104688,0.000104688,0.000104688
144,1084.95,0.69094,0.39969,1.00381,0.66247,0.83327,0.78566,0.4247,1.70902,1.04988,1.82495,9.36854e-05,9.36854e-05,9.36854e-05
145,1091.71,0.66748,0.40236,1.00002,0.63314,0.84424,0.78581,0.42949,1.69139,1.03764,1.82972,8.26832e-05,8.26832e-05,8.26832e-05
146,1097.75,0.68927,0.41608,1.01739,0.76123,0.71413,0.78171,0.42741,1.68789,1.04024,1.83062,7.1681e-05,7.1681e-05,7.1681e-05
147,1104.27,0.684,0.40347,1.00741,0.61733,0.91261,0.78672,0.42985,1.68383,1.00733,1.83761,6.06788e-05,6.06788e-05,6.06788e-05
148,1111.07,0.65693,0.39243,0.99023,0.63282,0.8918,0.78141,0.42987,1.68824,1.01879,1.8343,4.96766e-05,4.96766e-05,4.96766e-05
149,1117.13,0.68034,0.39898,1.01604,0.63397,0.83499,0.77106,0.42016,1.68931,1.04982,1.83076,3.86744e-05,3.86744e-05,3.86744e-05
150,1123.02,0.64307,0.38461,0.98592,0.62648,0.83935,0.76254,0.41434,1.69516,1.06734,1.84091,2.76722e-05,2.76722e-05,2.76722e-05
